id,keyword,location,text,target,p_disaster,p_non_disaster
5658,flooding,,"Flooding kills 166 displace over one million in Pakistan http://t.co/iCFQl7I9oP

At least 166 people have been killed and nearly 11 lakhÛ_",1,0.99,0.01
2597,crash,In my own world!!!,AKILAH WORLD NEWS Cop pulls man from car to avoid this ... http://t.co/Vn2Fnmy7li,1,0.85,0.15
6202,hijacker,USA,How to remove http://t.co/HRSfA8zujI BrowseråÊHijacker http://t.co/vLnjNoLNme http://t.co/iF5RoGFJRi,0,0.1,0.9
10084,typhoon,,Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Marians a... http://t.co/VTS9CAyiBC,1,0.99,0.01
6386,hurricane,#BlackLivesMatter,@zaynmaIikist listen to hurricane,1,0.1,0.9
10488,wildfire,,Route Complex AM Fire Update (Route Complex Wildfire): FIRE UPDATE: ROUTE COMPLEX Thursday Morning Aug... http://t.co/nS5lBS5ZUp #CAFire,1,0.99,0.01
190,aftershock,,Aftershock https://t.co/jV8ppKhJY7,0,0.65,0.35
3888,detonation,,Ignition Knock (Detonation) Sensor-Senso Standard fits 02-06 Acura RSX 2.0L-L4 http://t.co/VZaIQAMDCp http://t.co/ycecN44c8P,0,0.0,1.0
1234,blood,,Broke my nail(real not fake) this morning blood and all ah it hurts any ideas how to treat it? Help me pretty please ? -_-,0,0.01,0.99
7908,radiation%20emergency,#MayGodHelpUS,"#CCOT #TCOT #radiation Nuclear Emergency Tracking Center
http://t.co/KF74o2mcsC
https://t.co/N2ZHrChCGV",0,0.95,0.05
4799,evacuated,WA State,Entire town of Roosevelt Wash. evacuated because of wildfire http://t.co/CmwEIojJ55,1,0.99,0.01
2181,catastrophic,New York,@MyVintageSoul ...of the British upper class and his manservant.  The pampered wealthy Brit causes a catastrophic shift (reversal) of...,0,0.1,0.9
1507,body%20bags,,Womens Tote Faux Leather Handbags Shoulder Cross Body Top Handle Bags Rose http://t.co/GYzPisBI1u http://t.co/mSDnTkWYaf,0,0.0,1.0
9491,terrorism,"Bangalore City, India",Cross-border terrorism: Pakistan caught red-handed again - The Times of India http://t.co/uiqsfgZoOx,1,0.85,0.15
5354,fire,"Yuba City, CA",When your heart is bigger than the obstacles  in front of you #euro #dontexpectnothing #july #fire @euro,0,0.1,0.9
6636,inundation,,@ZachLowe_NBA there are a few reasons for that but one of them is the constant Drake inundation.  Extremely annoying.  If Drake lands us a,0,0.1,0.9
10350,weapons,Incognito,WOOOOOOO RT @GameRant: Call of Duty: Black Ops 3 eSports Mode Lets Players Ban Weapons http://t.co/76EHHmQQ6R http://t.co/umtffA9JjB,0,0.0,1.0
6413,hurricane,,The hurricane mixxtail kinda tastes like the watermelon four loko. ???????? @brittsand9,0,0.01,0.99
191,aftershock,,Aftershock back to school kick off was great. I want to thank everyone for making it possible. What a great night.,0,0.1,0.9
3869,detonation,,New SMP Ignition Knock (Detonation) Sensor KS315 http://t.co/aPVLH7hj1O http://t.co/1lJnTEJgmB,0,0.1,0.9
6614,inundated,Asia,As a result of heavy rains in #Bangladeshaffected lands are inundated by flood waters-land looks like rivers at high tide #BangladeshFlood,1,0.95,0.05
5061,famine,,Russian 'food crematoria' provoke outrage amid crisis famine memories: MOSCOW (Reuters) - Russian government ... http://t.co/Mphog0QDDN,1,0.95,0.05
7447,obliteration,Overton NV,This is interesting!--Why did God order obliteration of ancient Canaanites? http://t.co/XqMJHIOZxG via @worldnetdaily,0,0.1,0.9
4910,explode,,Toronto going crazy for the blue jays. Can you imagine if the leafs get good? The city might literally explode.,0,0.01,0.99
3131,debris,,Aircraft debris found on island is from MH370 Malaysia confirms http://t.co/X3RccHKagO,1,0.95,0.05
635,arsonist,New York,Arsonist Sets NYC Vegetarian Restaurant on Fire: Police #NewYork - http://t.co/Nr7usT3uh8,1,0.95,0.05
9699,tornado,canada,Calgary area tornado warnings end as thunderstorms move eastward - CBC.ca: CBC.ca Calgary area tornado warnings endÛ_ http://t.co/ST9jPZ8Y24,1,0.95,0.05
2506,collision,Sacramento,North Sac Elkhorn Blvd / Walerga Rd **Trfc Collision-1141 Enrt** http://t.co/W4ofcC99Wq,1,0.95,0.05
4548,emergency%20plan,"Antioch, CA ","4 Printable Emergency Plan Templates
http://t.co/nAex0Q1Ax0",0,0.1,0.9
1178,blight,,@jake_blight @WeAlIlKnowA you cunt,0,0.1,0.9
1020,blazing,"Saint Marys, GA",The Blazing Elwoods @BlazingElwoods - Don't Bother Me (Doug's Song) -Tune http://t.co/QYzpB1gKmR,0,0.0,1.0
7683,panic,East TN.,@biggangVH1 looks like George was having a panic attack. LOL.,0,0.1,0.9
3304,demolished,NJ,Uribe demolished that ball ??????,0,0.1,0.9
6071,heat%20wave,,Cherry print + matching lipstick (just rediscovered NarsÛª Û÷Heat WaveÛª).?? by @emilyschuman http://t.co/4eGh1G1Jk7,0,0.0,1.0
451,armageddon,,Best movie you've ever seen? - Armageddon  http://t.co/qoUXIgdtbZ,0,0.01,0.99
10410,whirlwind,,Whirlwind Medusa Audio Snake: 16 microphone inputs 0 returns 150 ft http://t.co/mxkAlMQpdb http://t.co/8KZnhtYtt9,1,0.1,0.9
5332,fire,"St.Cloud, MN",Dear @CanonUSAimaging I brought it ;) #CanonBringIt #Fire  #CanonTattoo #MN #TheresMoreWhereThatCameFrom http://t.co/tCXxHdJAs6,0,0.1,0.9
9251,sunk,,descended or sunk however it may be to the shadowed land beyond the crest of a striking cobra landing harshly upon his back; torch and,0,0.45,0.55
1646,bombing,,The cryptic words that guided pilots on the Hiroshima bombing mission http://t.co/39IAbcC5pK,1,0.85,0.15
253,ambulance,,Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Xum8YLcb4Q,1,0.95,0.05
7338,nuclear%20reactor,,Finnish ministers: Fennovoima nuclear reactor will go ahead http://t.co/mqMCOLwBzc,0,0.1,0.9
4768,evacuated,"Portland, Oregon",Red Cross re-opens shelter at Bickleton School after 25 homes evacuated in &amp; around Roosevelt WA due to wildfire. #LiveOnK2,1,0.95,0.05
9887,traumatised,,@Jude_Mugabi not that all abortions get you traumatised. At times you are okay with the decision due to reasons like rape,0,0.1,0.9
1073,bleeding,#expelcl*y,my ears are bleeding i hate stefano,0,0.1,0.9
340,annihilated,Swaning Around,"ANNIHILATED IN DAMASCUS: SYRIAN ARMY GRINDS Û÷ALLOOSH AND HIS GANG INTO THE MANURE PILE
http://t.co/7rakhP3bWm",1,0.95,0.05
9375,survived,South Asia,'Planted 390 years ago' it was moved to U-S. This Bonsai Survived Hiroshima But Its Story Was Nearly Lost http://t.co/jID4RO34gb via @NatGeo,1,0.45,0.55
9897,traumatised,,I'm slightly traumatised after this week's one born!,0,0.1,0.9
4974,explosion,,Exploring New Worlds: Three Moments of an Explosion by China MiÌ©ville http://t.co/OTrwZ1t9sp http://t.co/xVlkFCvfX5,1,0.01,0.99
1458,body%20bagging,316,'I did another one I did another one. You still ain't done shit about the other one.' Nigga body bagging Meek.,1,0.1,0.9
3840,detonate,"San Diego, CA",Apollo Brown ÛÒ Detonate ft.åÊM.O.P. http://t.co/JD7rIK7fX0 http://t.co/h6NgSw9A5b,0,0.01,0.99
9678,tornado,Los Angeles,Guys he can run so fast he creates a tornado WITHOUT BREAKING A SWEAT. He makes Superman look like a slowpoke. He can be a POC.,0,0.01,0.99
5075,famine,,'Food crematoria' provoke outrage amid crisis famine memories... http://t.co/REsxAvgpyJ,1,0.85,0.15
8704,sinking,,4 equipment ego break upon dig your family internet hoke excepting versus a sinking term: dfLJEV,1,0.5,0.5
2309,collapse,"Kolkata, India",Warne Ponting shocked by Australian collapse - Yahoo Cricket India https://t.co/hsgkTeZUCN,0,0.1,0.9
8468,screamed,"Trumann, Arkansas",26 people have screamed right in my ear this week at camp. TWENTY-SIX! And we still have 1/2 day left. #CedarGlade2015,0,0.01,0.99
3435,derail,"London, England",Buyout Giants Bid To Derail å£6bn Worldpay IPO ÛÒ SkyåÊNews http://t.co/94GjsKUR0r,0,0.1,0.9
5958,hazard,,@DannyRaynard not bad personally I'd get rid of either hazard or aguero for a better striker than berahino,0,0.1,0.9
3122,debris,,MH370: debris found on reunion island. ?? #sad #tragedy #innocent #crash #mh370,1,0.95,0.05
10250,war%20zone,"nashville, tn ",Sitting still in the #CityofMemphis traffic is like sitting in a war zone! They don't move for the Police.. They don't care,0,0.2,0.8
568,arson,bajaur,"After death of Palestinian toddler in arson
attack Israel cracks down on Jewish",1,0.95,0.05
5411,first%20responders,,#LukeBox something about first responders/ military they are our true Hero's!! Besides your music,0,0.3,0.7
4675,engulfed,@ ForSL/RP,@godsfirstson1 and she wrapped his coat around herself. It practically engulfed her.,1,0.01,0.99
8288,rioting,Alabama,http://t.co/jMzcaqyDfa  Cindy Noonan@CindyNoonan-Heartbreak in #Baltimore #Rioting #YAHIstorical #UndergroundRailraod,0,0.85,0.15
3505,derailment,India,Madhya Pradesh Train Derailment: Village Youth Saved Many Lives,1,0.95,0.05
6220,hijacker,worldwide,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,0,0.3,0.7
280,ambulance,Canada,ÛÏ@LeoBlakeCarter: This dog thinks he's an ambulance ?????? http://t.co/MG1lpGr0RMÛ@natasha_rideout,0,0.1,0.9
8584,screams,5-Feb,When you go to a concert and someone screams in your ear... Does it look like I wanna loose my hearing anytime soon???,1,0.01,0.99
4808,evacuated,,"I got evacuated from the cinema 30 mins through Inside Out
Kill me please",0,0.45,0.55
10118,upheaval,Sydney & Worldwide,Upheaval high note for bush opera http://t.co/aWPU0gaE0b #Sydney #News #Aus,0,0.3,0.7
8543,screams,Griffin :3,@DaneMillar1 *screams 666*,0,0.1,0.9
10611,wounded,Americas Newsroom,Police officer wounded suspect dead after exchanging shots: RICHMOND Va. (AP) ÛÓ A Richmond police officer wa... http://t.co/Y0qQS2L7bS,1,0.95,0.05
3697,destroy,Nigeria,@elgeotaofeeq that's not my take from his piece. Not putting that ambition in check will destroy the change we voted for the change we seek,0,0.1,0.9
6292,hostage,,Egyptian Militants Tied to ISIS Threaten to Kill Croatian Hostage (New York Times) http://t.co/GTXndnJRrl (1717 GMT),1,0.99,0.01
8741,sinking,Coventry,Do you feel like you are sinking in unhappiness? Take the quiz: http://t.co/t0c1F2lEdv http://t.co/u0MeXO4Uhh,0,0.01,0.99
